Gen:	L_2
1761	69.9096
1762	69.9096
1763	69.9096
1764	69.9096
1765	69.9096
1766	69.9096
1767	69.9096
1768	69.9096
1769	69.9096
1770	69.9096
1771	69.9096
1772	69.9096
1773	69.9096
1774	69.9096
1775	69.9096
1776	69.9096
1777	69.9096
1778	69.9096
1779	69.9096
1780	69.9096
1781	69.9096
1782	69.9096
1783	69.9096
1784	69.9096
1785	69.9096
1786	69.9096
1787	69.9096
1788	69.9096
1789	69.9096
1790	69.9096
1791	69.9096
1792	69.9096
1793	69.9096
1794	69.9096
1795	69.9096
1796	69.9096
1797	69.9096
1798	69.9096
1799	69.9096
1800	69.9096
1801	69.9096
1802	69.9096
1803	69.9096
1804	69.9096
1805	69.9096
1806	69.9096
1807	69.9096
1808	69.9096
1809	69.9096
1810	69.9096
1811	69.9096
1812	69.9096
1813	69.9096
1814	69.9096
1815	69.9096
1816	69.9096
1817	69.9096
1818	69.9096
1819	69.9096
1820	69.9096
1821	69.9096
1822	69.9096
1823	69.9096
1824	69.9096
1825	69.9096
1826	69.9096
1827	69.9096
1828	69.9096
1829	69.9096
1830	69.9096
1831	69.9096
1832	69.9096
1833	69.9096
1834	69.9096
1835	69.9096
1836	69.9096
1837	69.9096
1838	69.9096
1839	69.9096
1840	69.9096
1841	69.9096
1842	69.9096
1843	69.9096
1844	69.9096
1845	69.9096
1846	69.9096
1847	69.9096
1848	69.9096
1849	69.9096
1850	69.9096
1851	69.9096
1852	69.9096
1853	69.9096
1854	69.9096
1855	69.9096
1856	69.9096
1857	69.9096
1858	69.9096
1859	69.9096
1860	69.9096
1861	69.9096
1862	69.9096
1863	69.9096
1864	69.9096
1865	69.9096
1866	69.9096
1867	69.9096
1868	69.9096
1869	69.9096
1870	69.9096
1871	69.9096
1872	69.9096
1873	69.9096
1874	69.9096
1875	69.9096
1876	69.9096
1877	69.9096
1878	69.9096
1879	69.9096
1880	69.9096
1881	69.9096
1882	69.9096
1883	69.9096
1884	69.9096
1885	69.9096
1886	69.9096
1887	69.9096
1888	69.9096
1889	69.9096
1890	69.9096
1891	69.9096
1892	69.9096
1893	69.9096
1894	69.9096
